"Jurisdiction","Precinct","Race","Candidate","Votes"
"Churchill","Precinct 01","Governor","Goodman, Robert ""Bob""","40"
"Churchill","Precinct 01","Governor","None Of These Candidates","5"
"Churchill","Precinct 01","Governor","Sandoval, Brian","402"
"Churchill","Precinct 01","Governor","VanDerBeek, David Lory","18"
"Churchill","Precinct 02","Governor","Goodman, Robert ""Bob""","39"
"Churchill","Precinct 02","Governor","None Of These Candidates","9"
"Churchill","Precinct 02","Governor","Sandoval, Brian","274"
"Churchill","Precinct 02","Governor","VanDerBeek, David Lory","12"
"Churchill","Precinct 03","Governor","Goodman, Robert ""Bob""","28"
"Churchill","Precinct 03","Governor","None Of These Candidates","11"
"Churchill","Precinct 03","Governor","Sandoval, Brian","243"
"Churchill","Precinct 03","Governor","VanDerBeek, David Lory","15"
"Churchill","Precinct 04","Governor","Goodman, Robert ""Bob""","35"
"Churchill","Precinct 04","Governor","None Of These Candidates","4"
"Churchill","Precinct 04","Governor","Sandoval, Brian","257"
"Churchill","Precinct 04","Governor","VanDerBeek, David Lory","17"
"Churchill","Precinct 05","Governor","Goodman, Robert ""Bob""","30"
"Churchill","Precinct 05","Governor","None Of These Candidates","4"
"Churchill","Precinct 05","Governor","Sandoval, Brian","206"
"Churchill","Precinct 05","Governor","VanDerBeek, David Lory","20"
"Churchill","Precinct 06","Governor","Goodman, Robert ""Bob""","39"
"Churchill","Precinct 06","Governor","None Of These Candidates","6"
"Churchill","Precinct 06","Governor","Sandoval, Brian","265"
"Churchill","Precinct 06","Governor","VanDerBeek, David Lory","7"
"Churchill","Precinct 07","Governor","Goodman, Robert ""Bob""","53"
"Churchill","Precinct 07","Governor","None Of These Candidates","8"
"Churchill","Precinct 07","Governor","Sandoval, Brian","426"
"Churchill","Precinct 07","Governor","VanDerBeek, David Lory","10"
"Churchill","Precinct 08","Governor","Goodman, Robert ""Bob""","32"
"Churchill","Precinct 08","Governor","None Of These Candidates","6"
"Churchill","Precinct 08","Governor","Sandoval, Brian","207"
"Churchill","Precinct 08","Governor","VanDerBeek, David Lory","8"
"Churchill","Precinct 09","Governor","Goodman, Robert ""Bob""","26"
"Churchill","Precinct 09","Governor","None Of These Candidates","9"
"Churchill","Precinct 09","Governor","Sandoval, Brian","271"
"Churchill","Precinct 09","Governor","VanDerBeek, David Lory","14"
"Churchill","Precinct 10","Governor","Goodman, Robert ""Bob""","38"
"Churchill","Precinct 10","Governor","None Of These Candidates","12"
"Churchill","Precinct 10","Governor","Sandoval, Brian","511"
"Churchill","Precinct 10","Governor","VanDerBeek, David Lory","15"
"Churchill","Precinct 11","Governor","Goodman, Robert ""Bob""","40"
"Churchill","Precinct 11","Governor","None Of These Candidates","7"
"Churchill","Precinct 11","Governor","Sandoval, Brian","507"
"Churchill","Precinct 11","Governor","VanDerBeek, David Lory","19"
"Churchill","Precinct 12","Governor","Goodman, Robert ""Bob""","15"
"Churchill","Precinct 12","Governor","None Of These Candidates","5"
"Churchill","Precinct 12","Governor","Sandoval, Brian","174"
"Churchill","Precinct 12","Governor","VanDerBeek, David Lory","7"
"Churchill","Precinct 13","Governor","Goodman, Robert ""Bob""","24"
"Churchill","Precinct 13","Governor","None Of These Candidates","7"
"Churchill","Precinct 13","Governor","Sandoval, Brian","275"
"Churchill","Precinct 13","Governor","VanDerBeek, David Lory","8"
"Churchill","Precinct 14","Governor","Goodman, Robert ""Bob""","38"
"Churchill","Precinct 14","Governor","None Of These Candidates","7"
"Churchill","Precinct 14","Governor","Sandoval, Brian","330"
"Churchill","Precinct 14","Governor","VanDerBeek, David Lory","16"
"Churchill","Precinct 15","Governor","Goodman, Robert ""Bob""","20"
"Churchill","Precinct 15","Governor","None Of These Candidates","13"
"Churchill","Precinct 15","Governor","Sandoval, Brian","401"
"Churchill","Precinct 15","Governor","VanDerBeek, David Lory","17"
"Churchill","Precinct 16","Governor","Goodman, Robert ""Bob""","45"
"Churchill","Precinct 16","Governor","None Of These Candidates","7"
"Churchill","Precinct 16","Governor","Sandoval, Brian","201"
"Churchill","Precinct 16","Governor","VanDerBeek, David Lory","3"
"Churchill","Precinct 17","Governor","Goodman, Robert ""Bob""","38"
"Churchill","Precinct 17","Governor","None Of These Candidates","20"
"Churchill","Precinct 17","Governor","Sandoval, Brian","507"
"Churchill","Precinct 17","Governor","VanDerBeek, David Lory","30"
"Churchill","Precinct 18","Governor","Goodman, Robert ""Bob""","58"
"Churchill","Precinct 18","Governor","None Of These Candidates","14"
"Churchill","Precinct 18","Governor","Sandoval, Brian","570"
"Churchill","Precinct 18","Governor","VanDerBeek, David Lory","19"
"Churchill","Precinct 19","Governor","Goodman, Robert ""Bob""","28"
"Churchill","Precinct 19","Governor","None Of These Candidates","2"
"Churchill","Precinct 19","Governor","Sandoval, Brian","329"
"Churchill","Precinct 19","Governor","VanDerBeek, David Lory","22"
"Clark","1038 - COUNTY","Governor","Goodman, Robert ""Bob""","37"
"Clark","1038 - COUNTY","Governor","None Of These Candidates","9"
"Clark","1038 - COUNTY","Governor","Sandoval, Brian","201"
"Clark","1038 - COUNTY","Governor","VanDerBeek, David Lory","1"
"Clark","1039 - COUNTY","Governor","Goodman, Robert ""Bob""","53"
"Clark","1039 - COUNTY","Governor","None Of These Candidates","11"
"Clark","1039 - COUNTY","Governor","Sandoval, Brian","506"
"Clark","1039 - COUNTY","Governor","VanDerBeek, David Lory","4"
"Clark","1063 - COUNTY","Governor","Goodman, Robert ""Bob""","112"
"Clark","1063 - COUNTY","Governor","None Of These Candidates","21"
"Clark","1063 - COUNTY","Governor","Sandoval, Brian","330"
"Clark","1063 - COUNTY","Governor","VanDerBeek, David Lory","12"
"Clark","1072 - COUNTY","Governor","Goodman, Robert ""Bob""","35"
"Clark","1072 - COUNTY","Governor","None Of These Candidates","6"
"Clark","1072 - COUNTY","Governor","Sandoval, Brian","161"
"Clark","1072 - COUNTY","Governor","VanDerBeek, David Lory","18"
"Clark","1074 - COUNTY","Governor","Goodman, Robert ""Bob""","168"
"Clark","1074 - COUNTY","Governor","None Of These Candidates","13"
"Clark","1074 - COUNTY","Governor","Sandoval, Brian","477"
"Clark","1074 - COUNTY","Governor","VanDerBeek, David Lory","19"
"Clark","1137 - COUNTY","Governor","Goodman, Robert ""Bob""","120"
"Clark","1137 - COUNTY","Governor","None Of These Candidates","7"
"Clark","1137 - COUNTY","Governor","Sandoval, Brian","269"
"Clark","1137 - COUNTY","Governor","VanDerBeek, David Lory","5"
"Clark","1302 - COUNTY","Governor","Goodman, Robert ""Bob""","140"
"Clark","1302 - COUNTY","Governor","None Of These Candidates","10"
"Clark","1302 - COUNTY","Governor","Sandoval, Brian","212"
"Clark","1302 - COUNTY","Governor","VanDerBeek, David Lory","9"
"Clark","1303 - COUNTY","Governor","Goodman, Robert ""Bob""","106"
"Clark","1303 - COUNTY","Governor","None Of These Candidates","6"
"Clark","1303 - COUNTY","Governor","Sandoval, Brian","256"
"Clark","1303 - COUNTY","Governor","VanDerBeek, David Lory","7"
"Clark","1304 - COUNTY","Governor","Goodman, Robert ""Bob""","52"
"Clark","1304 - COUNTY","Governor","None Of These Candidates","5"
"Clark","1304 - COUNTY","Governor","Sandoval, Brian","70"
"Clark","1304 - COUNTY","Governor","VanDerBeek, David Lory","1"
"Clark","1307 - COUNTY","Governor","Goodman, Robert ""Bob""","152"
"Clark","1307 - COUNTY","Governor","None Of These Candidates","21"
"Clark","1307 - COUNTY","Governor","Sandoval, Brian","407"
"Clark","1307 - COUNTY","Governor","VanDerBeek, David Lory","5"
"Clark","1318 - COUNTY","Governor","Goodman, Robert ""Bob""","99"
"Clark","1318 - COUNTY","Governor","None Of These Candidates","11"
"Clark","1318 - COUNTY","Governor","Sandoval, Brian","153"
"Clark","1318 - COUNTY","Governor","VanDerBeek, David Lory","11"
"Clark","1327 - COUNTY","Governor","Goodman, Robert ""Bob""","125"
"Clark","1327 - COUNTY","Governor","None Of These Candidates","4"
"Clark","1327 - COUNTY","Governor","Sandoval, Brian","211"
"Clark","1327 - COUNTY","Governor","VanDerBeek, David Lory","4"
"Clark","1328 - COUNTY","Governor","Goodman, Robert ""Bob""","121"
"Clark","1328 - COUNTY","Governor","None Of These Candidates","7"
"Clark","1328 - COUNTY","Governor","Sandoval, Brian","192"
"Clark","1328 - COUNTY","Governor","VanDerBeek, David Lory","10"
"Clark","1330 - COUNTY","Governor","Goodman, Robert ""Bob""","143"
"Clark","1330 - COUNTY","Governor","None Of These Candidates","28"
"Clark","1330 - COUNTY","Governor","Sandoval, Brian","414"
"Clark","1330 - COUNTY","Governor","VanDerBeek, David Lory","12"
"Clark","1331 - COUNTY","Governor","Goodman, Robert ""Bob""","141"
"Clark","1331 - COUNTY","Governor","None Of These Candidates","9"
"Clark","1331 - COUNTY","Governor","Sandoval, Brian","199"
"Clark","1331 - COUNTY","Governor","VanDerBeek, David Lory","9"
"Clark","1332 - COUNTY","Governor","Goodman, Robert ""Bob""","67"
"Clark","1332 - COUNTY","Governor","None Of These Candidates","5"
"Clark","1332 - COUNTY","Governor","Sandoval, Brian","127"
"Clark","1332 - COUNTY","Governor","VanDerBeek, David Lory","1"
"Clark","1333 - COUNTY","Governor","Goodman, Robert ""Bob""","115"
"Clark","1333 - COUNTY","Governor","None Of These Candidates","19"
"Clark","1333 - COUNTY","Governor","Sandoval, Brian","320"
"Clark","1333 - COUNTY","Governor","VanDerBeek, David Lory","6"
"Clark","1334 - COUNTY","Governor","Goodman, Robert ""Bob""","129"
"Clark","1334 - COUNTY","Governor","None Of These Candidates","10"
"Clark","1334 - COUNTY","Governor","Sandoval, Brian","314"
"Clark","1334 - COUNTY","Governor","VanDerBeek, David Lory","9"
"Clark","1335 - COUNTY","Governor","Goodman, Robert ""Bob""","131"
"Clark","1335 - COUNTY","Governor","None Of These Candidates","20"
"Clark","1335 - COUNTY","Governor","Sandoval, Brian","302"
"Clark","1335 - COUNTY","Governor","VanDerBeek, David Lory","9"
"Clark","1336 - COUNTY","Governor","Goodman, Robert ""Bob""","54"
"Clark","1336 - COUNTY","Governor","None Of These Candidates","3"
"Clark","1336 - COUNTY","Governor","Sandoval, Brian","140"
"Clark","1336 - COUNTY","Governor","VanDerBeek, David Lory","3"
"Clark","1337 - COUNTY","Governor","Goodman, Robert ""Bob""","154"
"Clark","1337 - COUNTY","Governor","None Of These Candidates","13"
"Clark","1337 - COUNTY","Governor","Sandoval, Brian","262"
"Clark","1337 - COUNTY","Governor","VanDerBeek, David Lory","9"
"Clark","1340 - COUNTY","Governor","Goodman, Robert ""Bob""","134"
"Clark","1340 - COUNTY","Governor","None Of These Candidates","12"
"Clark","1340 - COUNTY","Governor","Sandoval, Brian","226"
"Clark","1340 - COUNTY","Governor","VanDerBeek, David Lory","8"
"Clark","1341 - COUNTY","Governor","Goodman, Robert ""Bob""","108"
"Clark","1341 - COUNTY","Governor","None Of These Candidates","19"
"Clark","1341 - COUNTY","Governor","Sandoval, Brian","227"
"Clark","1341 - COUNTY","Governor","VanDerBeek, David Lory","5"
"Clark","1342 - COUNTY","Governor","Goodman, Robert ""Bob""","95"
"Clark","1342 - COUNTY","Governor","None Of These Candidates","7"
"Clark","1342 - COUNTY","Governor","Sandoval, Brian","229"
"Clark","1342 - COUNTY","Governor","VanDerBeek, David Lory","8"
"Clark","1343 - COUNTY","Governor","Goodman, Robert ""Bob""","55"
"Clark","1343 - COUNTY","Governor","None Of These Candidates","10"
"Clark","1343 - COUNTY","Governor","Sandoval, Brian","273"
"Clark","1343 - COUNTY","Governor","VanDerBeek, David Lory","3"
"Clark","1344 - COUNTY","Governor","Goodman, Robert ""Bob""","60"
"Clark","1344 - COUNTY","Governor","None Of These Candidates","9"
"Clark","1344 - COUNTY","Governor","Sandoval, Brian","149"
"Clark","1344 - COUNTY","Governor","VanDerBeek, David Lory","0"
"Clark","1345 - COUNTY","Governor","Goodman, Robert ""Bob""","65"
"Clark","1345 - COUNTY","Governor","None Of These Candidates","3"
"Clark","1345 - COUNTY","Governor","Sandoval, Brian","121"
"Clark","1345 - COUNTY","Governor","VanDerBeek, David Lory","5"
"Clark","1346 - COUNTY","Governor","Goodman, Robert ""Bob""","136"
"Clark","1346 - COUNTY","Governor","None Of These Candidates","17"
"Clark","1346 - COUNTY","Governor","Sandoval, Brian","367"
"Clark","1346 - COUNTY","Governor","VanDerBeek, David Lory","10"
"Clark","1348 - COUNTY","Governor","Goodman, Robert ""Bob""","89"
"Clark","1348 - COUNTY","Governor","None Of These Candidates","9"
"Clark","1348 - COUNTY","Governor","Sandoval, Brian","189"
"Clark","1348 - COUNTY","Governor","VanDerBeek, David Lory","13"
"Clark","1349 - COUNTY","Governor","Goodman, Robert ""Bob""","101"
"Clark","1349 - COUNTY","Governor","None Of These Candidates","4"
"Clark","1349 - COUNTY","Governor","Sandoval, Brian","157"
"Clark","1349 - COUNTY","Governor","VanDerBeek, David Lory","5"
"Clark","1351 - COUNTY","Governor","Goodman, Robert ""Bob""","126"
"Clark","1351 - COUNTY","Governor","None Of These Candidates","7"
"Clark","1351 - COUNTY","Governor","Sandoval, Brian","176"
"Clark","1351 - COUNTY","Governor","VanDerBeek, David Lory","14"
"Clark","1352 - COUNTY","Governor","Goodman, Robert ""Bob""","113"
"Clark","1352 - COUNTY","Governor","None Of These Candidates","17"
"Clark","1352 - COUNTY","Governor","Sandoval, Brian","190"
"Clark","1352 - COUNTY","Governor","VanDerBeek, David Lory","5"
"Clark","1353 - COUNTY","Governor","Goodman, Robert ""Bob""","120"
"Clark","1353 - COUNTY","Governor","None Of These Candidates","10"
"Clark","1353 - COUNTY","Governor","Sandoval, Brian","213"
"Clark","1353 - COUNTY","Governor","VanDerBeek, David Lory","8"
"Clark","1354 - COUNTY","Governor","Goodman, Robert ""Bob""","57"
"Clark","1354 - COUNTY","Governor","None Of These Candidates","5"
"Clark","1354 - COUNTY","Governor","Sandoval, Brian","150"
"Clark","1354 - COUNTY","Governor","VanDerBeek, David Lory","11"
"Clark","1356 - COUNTY","Governor","Goodman, Robert ""Bob""","130"
"Clark","1356 - COUNTY","Governor","None Of These Candidates","10"
"Clark","1356 - COUNTY","Governor","Sandoval, Brian","205"
"Clark","1356 - COUNTY","Governor","VanDerBeek, David Lory","16"
"Clark","1360 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1360 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1360 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1360 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1361 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1361 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1361 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1361 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1363 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1363 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1363 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1363 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1365 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1365 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1365 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1365 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1367 - COUNTY","Governor","Goodman, Robert ""Bob""","150"
"Clark","1367 - COUNTY","Governor","None Of These Candidates","12"
"Clark","1367 - COUNTY","Governor","Sandoval, Brian","231"
"Clark","1367 - COUNTY","Governor","VanDerBeek, David Lory","6"
"Clark","1368 - COUNTY","Governor","Goodman, Robert ""Bob""","123"
"Clark","1368 - COUNTY","Governor","None Of These Candidates","10"
"Clark","1368 - COUNTY","Governor","Sandoval, Brian","217"
"Clark","1368 - COUNTY","Governor","VanDerBeek, David Lory","8"
"Clark","1370 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1370 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1370 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1370 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1371 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1371 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1371 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1371 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1373 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1373 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1373 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1373 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1374 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1374 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1374 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1374 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1375 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1375 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1375 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1375 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1376 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1376 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1376 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1376 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1377 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1377 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1377 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1377 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1378 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1378 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1378 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1378 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1379 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1379 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1379 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1379 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1380 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1380 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1380 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1380 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1381 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1381 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1381 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1381 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1382 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1382 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1382 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1382 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1384 - HEN","Governor","Goodman, Robert ""Bob""","4"
"Clark","1384 - HEN","Governor","None Of These Candidates","1"
"Clark","1384 - HEN","Governor","Sandoval, Brian","17"
"Clark","1384 - HEN","Governor","VanDerBeek, David Lory","0"
"Clark","1385 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1385 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1385 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1385 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1386 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1386 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1386 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1386 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1387 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","1387 - COUNTY","Governor","None Of These Candidates","*"
"Clark","1387 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","1387 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","1389 - HEN","Governor","Goodman, Robert ""Bob""","76"
"Clark","1389 - HEN","Governor","None Of These Candidates","8"
"Clark","1389 - HEN","Governor","Sandoval, Brian","186"
"Clark","1389 - HEN","Governor","VanDerBeek, David Lory","1"
"Clark","1390 - HEN","Governor","Goodman, Robert ""Bob""","175"
"Clark","1390 - HEN","Governor","None Of These Candidates","16"
"Clark","1390 - HEN","Governor","Sandoval, Brian","393"
"Clark","1390 - HEN","Governor","VanDerBeek, David Lory","11"
"Clark","1391 - HEN","Governor","Goodman, Robert ""Bob""","148"
"Clark","1391 - HEN","Governor","None Of These Candidates","8"
"Clark","1391 - HEN","Governor","Sandoval, Brian","244"
"Clark","1391 - HEN","Governor","VanDerBeek, David Lory","17"
"Clark","1394 - HEN","Governor","Goodman, Robert ""Bob""","124"
"Clark","1394 - HEN","Governor","None Of These Candidates","16"
"Clark","1394 - HEN","Governor","Sandoval, Brian","477"
"Clark","1394 - HEN","Governor","VanDerBeek, David Lory","4"
"Clark","1395 - HEN","Governor","Goodman, Robert ""Bob""","91"
"Clark","1395 - HEN","Governor","None Of These Candidates","10"
"Clark","1395 - HEN","Governor","Sandoval, Brian","486"
"Clark","1395 - HEN","Governor","VanDerBeek, David Lory","4"
"Clark","1396 - HEN","Governor","Goodman, Robert ""Bob""","90"
"Clark","1396 - HEN","Governor","None Of These Candidates","16"
"Clark","1396 - HEN","Governor","Sandoval, Brian","246"
"Clark","1396 - HEN","Governor","VanDerBeek, David Lory","8"
"Clark","1410 - HEN","Governor","Goodman, Robert ""Bob""","124"
